county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Tonj North,2021-10-01,152.43584320527128,r27,Oct-21,13.9,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Tonj North,2022-08-01,99.61770267469764,r28,Aug-22,10.4,No,2022,Aug,2022-05-01,2022-08-01,2,0,632,NA,0
Tonj North,2023-07-01,77.57342228293273,r29,Jul-23,16,Yes,2023,Jul,2023-04-01,2023-07-01,53,171,73087,NA,1
Tonj North,2024-07-01,63.985803809880096,r30,Jul-24,12.9,No,2024,Jul,2024-04-01,2024-07-01,43,116,83605,NA,0
Tonj South,2019-07-01,112.096331327361,r24,Jul-19,11.6,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Tonj South,2019-12-01,106.05867821023656,r25,Dec-19,3.5,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Tonj South,2020-09-01,162.5665817899946,r26,Sep-20,5.7,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Tonj South,2021-10-01,165.31883315638083,r27,Oct-21,5.7,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Tonj South,2022-08-01,121.30369939640246,r28,Aug-22,10,No,2022,Aug,2022-05-01,2022-08-01,3,2,2343,NA,0
Tonj South,2023-07-01,112.54658984172058,r29,Jul-23,24.8,Yes,2023,Jul,2023-04-01,2023-07-01,23,17,6692,NA,1
Tonj South,2024-07-01,87.47441236952473,r30,Jul-24,11.7,No,2024,Jul,2024-04-01,2024-07-01,29,54,42537,13706.047688578235,0
Torit,2019-07-01,118.51097743379162,r24,Jul-19,5.9,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Torit,2019-12-01,144.73721479930745,r25,Dec-19,4.3,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Torit,2020-09-01,171.22088227243515,r26,Sep-20,5.9,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,4996.303507724206,0
Torit,2021-10-01,140.74896676384122,r27,Oct-21,5.9,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,7230.1080188450915,0
Torit,2022-08-01,111.03989015486673,r28,Aug-22,6.2,No,2022,Aug,2022-05-01,2022-08-01,13,19,21944,7678.046178921537,0
Torit,2023-07-01,95.33735402632446,r29,Jul-23,12.3,No,2023,Jul,2023-04-01,2023-07-01,26,27,312859,4710.479216180987,0
Torit,2024-07-01,99.72359145649138,r30,Jul-24,9.3,No,2024,Jul,2024-04-01,2024-07-01,32,38,331406,3182.305575641026,0
Twic,2019-07-01,77.09092570299163,r24,Jul-19,22.1,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Twic,2019-12-01,100.0867424733464,r25,Dec-19,14.7,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Twic,2020-09-01,113.67455250042936,r26,Sep-20,14.7,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Twic,2021-10-01,135.90095783801112,r27,Oct-21,14.7,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Twic,2022-08-01,90.23378697257796,r28,Aug-22,21.2,Yes,2022,Aug,2022-05-01,2022-08-01,2,18,1528,7735.66899251923,1
Twic,2023-07-01,63.51002118538513,r29,Jul-23,15.7,Yes,2023,Jul,2023-04-01,2023-07-01,73,132,128054,5476.328424095833,1
Twic,2024-07-01,54.50372002742397,r30,Jul-24,21.6,Yes,2024,Jul,2024-04-01,2024-07-01,43,72,91154,13260.6934330607,1
Twic East,2019-07-01,84.6249937708434,r24,Jul-19,20.7,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Twic East,2019-12-01,104.3303863250327,r25,Dec-19,12,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Twic East,2020-09-01,138.66280591440116,r26,Sep-20,29.1,Yes,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,1
Twic East,2021-10-01,126.79737893609304,r27,Oct-21,29.1,Yes,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,1
Twic East,2022-08-01,99.45124967807446,r28,Aug-22,7.6,No,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,0
Twic East,2023-07-01,73.03530566046514,r29,Jul-23,14.6,No,2023,Jul,2023-04-01,2023-07-01,23,33,26990,NA,0
Twic East,2024-07-01,76.47851102255775,r30,Jul-24,23.6,Yes,2024,Jul,2024-04-01,2024-07-01,18,36,60993,NA,1
Ulang,2019-07-01,84.0064184065269,r24,Jul-19,26,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Ulang,2019-12-01,119.1201537617589,r25,Dec-19,14,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Ulang,2020-09-01,155.01249462549785,r26,Sep-20,14.7,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Ulang,2021-10-01,140.8289443044057,r27,Oct-21,14.7,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Ulang,2022-08-01,116.17432711844566,r28,Aug-22,26.8,Yes,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,1
Ulang,2023-07-01,66.90580437489162,r29,Jul-23,29.6,Yes,2023,Jul,2023-04-01,2023-07-01,26,60,222702,NA,1
Ulang,2024-07-01,68.28687616568682,r30,Jul-24,12,No,2024,Jul,2024-04-01,2024-07-01,17,20,123623,NA,0
Uror,2019-07-01,84.29389813481728,r24,Jul-19,22.7,Yes,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,1
Uror,2019-12-01,124.58255486717916,r25,Dec-19,19.6,Yes,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,1
Uror,2020-09-01,143.89118550392087,r26,Sep-20,0,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Uror,2021-10-01,136.0681343747244,r27,Oct-21,0,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
Uror,2022-08-01,106.26702919226722,r28,Aug-22,22.5,Yes,2022,Aug,2022-05-01,2022-08-01,0,0,0,NA,1
Uror,2023-07-01,77.51780678445898,r29,Jul-23,26.5,Yes,2023,Jul,2023-04-01,2023-07-01,106,183,174648,NA,1
Uror,2024-07-01,74.42943635043383,r30,Jul-24,37.9,Yes,2024,Jul,2024-04-01,2024-07-01,30,36,99025,NA,1
Wau,2019-07-01,115.8829221113651,r24,Jul-19,13.5,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Wau,2019-12-01,142.5022554470583,r25,Dec-19,6.8,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Wau,2020-09-01,160.20987163570857,r26,Sep-20,7.1,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,2168.52007858384,0
Wau,2021-10-01,188.0997459568558,r27,Oct-21,7.1,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,12453.289141181303,0
Wau,2022-08-01,154.15149382846496,r28,Aug-22,9,No,2022,Aug,2022-05-01,2022-08-01,4,0,192,4360.6339570880955,0
Wau,2023-07-01,108.98686050767756,r29,Jul-23,18.2,Yes,2023,Jul,2023-04-01,2023-07-01,12,19,96663,3832.564062389327,1
Wau,2024-07-01,94.55819359026592,r30,Jul-24,5.4,No,2024,Jul,2024-04-01,2024-07-01,30,36,464248,6810.7620093385985,0
Wulu,2019-07-01,122.08673007561784,r24,Jul-19,4.3,No,2019,Jul,2019-04-01,2019-07-01,0,0,0,NA,0
Wulu,2019-12-01,115.493492787799,r25,Dec-19,3.1,No,2019,Dec,2019-09-01,2019-12-01,0,0,0,NA,0
Wulu,2020-09-01,165.08027984716543,r26,Sep-20,6.5,No,2020,Sep,2020-06-01,2020-09-01,0,0,0,NA,0
Wulu,2021-10-01,162.81560991898036,r27,Oct-21,6.5,No,2021,Oct,2021-07-01,2021-10-01,0,0,0,NA,0
